,title,price,link
0,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop  ","35,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MTk4ODgzNjUzMTYzNzM6MTczMTYxNzU3MTpzcF9hdGY6MzAwMDY4NzE2NjgxMTMyOjowOjo&url=%2FDell-Smartchoice-i3-1215U-Processor-Spill-Resistant%2Fdp%2FB0BQJ68HHC%2Fref%3Dsr_1_1_sspa%3Fcrid%3D5BLOEJ9SMC72%26dib%3DeyJ2IjoiMSJ9.oImuo9WRyEf17eqX3Pr54aEEYbKtmlDD8GKPNWa5neEW-_LW77YZRX4IuZ4Hm3lPGLHntuPzHfR_2Bq-3bQIuxpVP_Lu8BJyLzGIxUChuaQKo2ax57b1nR1mt2cUbccSdlKScyyO4wMnMhIcofFXqvO4-WzBV3qXQ-CDCG9Ae416RQKg8k7nDpPl1p-3ym8ZkonXwSkZy3_ijircCI7WoWyXGZ_C5S2OcfwD90JNhqo.Q1YEodEcnCkWxqJ_NzmeMNkil1bNd0E6q3LRZO_Mu4I%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1731617571%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Acer ALG Gaming Laptop 13th Gen Intel Core i7 Processor (16GB DDR4/512GB SSD/6GB RTX3050 Graphics/144Hz/Win11Home/Wifi 6) AL15G-53, 39.62cm (15.6"") FHD Display, Premium Metal Body, Steel Gray, 1.99KG  ","70,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MTk4ODgzNjUzMTYzNzM6MTczMTYxNzU3MTpzcF9hdGY6MzAwMzI5ODQzMTY2NjMyOjowOjo&url=%2FAcer-Processor-Graphics-Win11Home-AL15G-53%2Fdp%2FB0DFHFCS4Y%2Fref%3Dsr_1_2_sspa%3Fcrid%3D5BLOEJ9SMC72%26dib%3DeyJ2IjoiMSJ9.oImuo9WRyEf17eqX3Pr54aEEYbKtmlDD8GKPNWa5neEW-_LW77YZRX4IuZ4Hm3lPGLHntuPzHfR_2Bq-3bQIuxpVP_Lu8BJyLzGIxUChuaQKo2ax57b1nR1mt2cUbccSdlKScyyO4wMnMhIcofFXqvO4-WzBV3qXQ-CDCG9Ae416RQKg8k7nDpPl1p-3ym8ZkonXwSkZy3_ijircCI7WoWyXGZ_C5S2OcfwD90JNhqo.Q1YEodEcnCkWxqJ_NzmeMNkil1bNd0E6q3LRZO_Mu4I%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1731617571%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","29,799",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_6?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.oImuo9WRyEf17eqX3Pr54aEEYbKtmlDD8GKPNWa5neEW-_LW77YZRX4IuZ4Hm3lPGLHntuPzHfR_2Bq-3bQIuxpVP_Lu8BJyLzGIxUChuaQKo2ax57b1nR1mt2cUbccSdlKScyyO4wMnMhIcofFXqvO4-WzBV3qXQ-CDCG9Ae416RQKg8k7nDpPl1p-3ym8ZkonXwSkZy3_ijircCI7WoWyXGZ_C5S2OcfwD90JNhqo.Q1YEodEcnCkWxqJ_NzmeMNkil1bNd0E6q3LRZO_Mu4I&dib_tag=se&keywords=laptop&qid=1731617571&sprefix=laptop%2Caps%2C214&sr=8-6
3,"HP 15s Ryzen 5 (8GB RAM/512GB SSD/FHD/Windows 11/ MS Office/Numeric Keyboard /15.6""(39.6cm)/Silver/1.69 kg) eq2144AU Laptop  ","36,762",https://amazon.in//HP-15-6-inch-graphics-speakers-eq2144AU/dp/B09RZRF1PJ/ref=sr_1_83?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-83
4,"ASUS Vivobook 16"" FHD+ (1920 x 1200), 60Hz 300nits, Core i5-12500H, (16GB RAM/512GB SSD/Intel Iris Xáµ‰ Graphics/Win 11/Office Home/Fingerprint/42WHr Battery/Transparent Silver/1.88kg), X1605ZAC-MB541WS  ","52,990",https://amazon.in//ASUS-i5-12500H-Fingerprint-Transparent-X1605ZAC-MB541WS/dp/B0DGLCTZXX/ref=sr_1_84?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-84
5,"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon graphics, Backlit KB, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU  ","44,090",https://amazon.in//HP-15-6-inch-Graphics-Speakers-ey2001AU/dp/B0C9DDN2JB/ref=sr_1_85?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-85
6,"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight  ","99,900",https://amazon.in//2022-Apple-MacBook-Laptop-chip/dp/B0DLHFM2XL/ref=sr_1_86?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-86
7,"ASUS Vivobook 16, IntelCore i3-1215U 12th Gen, Thin and Light Laptop, 16-inch (40.64 cm) FHD+, (8 GB RAM/512GB SSD/Windows 11/Fingerprint/Black/1.88kg), X1605ZAB-MB322WS  ","34,990",https://amazon.in//ASUS-Vivobook-Intel%C2%AECoreTM-FingerPrint-X1605ZAB-MB322WS/dp/B0CFVYSZFG/ref=sr_1_87?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-87
8,"Acer One 14 Business Laptop AMD Ryzen 3 3250U Processor (8GB RAM/256GB SSD/AMD Radeon Graphics/Windows 11 Home) Z2-493 with 35.56 cm (14.0"") HD Display  ","24,021",https://amazon.in//Acer-Business-Processor-Graphics-Z2-493/dp/B0B42QJMJP/ref=sr_1_88?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-88
9,"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam  ","16,990",https://amazon.in//Chuwi-HeroBook-Pro-Celeron-Mini-HDMI/dp/B0D9RXH8X5/ref=sr_1_89?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-89
